x,y
1,0
2,-0.79
3,0.03
4,-0.36
5,1.07
6,0.62
7,2.15
8,-0.44
9,0.28
10,0.13
11,0.32
12,1.69
13,1.09
14,-0.82
15,0.29
16,-0.33
17,-0.57
18,0.87
19,-0.34
20,-0.48
21,-0.11
22,0.91
23,0.86
24,0.02
25,-0.27
26,-1.24
27,-1.13
28,-0.99
29,-0.45
30,1.85
31,-0.12
32,-0.33
33,-2.15
34,-0.05
35,-1.59
36,-1.38
37,0.63
38,-1.92
39,-0.48
40,0.66
41,1.72
42,-0.4
43,-0.75
44,1.58
45,0.45
46,-0.6
47,-0.9
48,-1.24
49,-0.81
50,0.84
51,1.14
52,-0.83
53,-0.03
54,-0.41
55,0.66
56,0.04
57,0.38
58,-0.04
59,-2.2
60,-0.61
61,-1.46
62,0.31
63,-0.59
64,-0.78
65,-0.24
66,0.5
67,-0.02
68,1.64
69,2.14
70,2.36
71,0.47
72,-1.34
73,0.82
74,-0.17
75,-0.01
76,0.62
77,-1.42
78,1.2
79,1.24
80,0.72
81,1.11
82,0.89
83,0.38
84,-0.19
85,-0.8
86,0.05
87,0.38
88,1.2
89,0.56
90,-0.69
91,-1.78
92,-0.66
93,-0.23
94,-0.17
95,-1.58
96,0.6
97,1.25
98,-0.45
99,0.67
100,1.15
101,0.38
102,-0.83
103,1.36
104,0.79
105,-0.01
106,0.77
107,1.85
108,0.06
109,0.71
110,2.16
111,-0.47
112,-0.69
113,-0.8
114,-0.4
115,-0.33
116,0.2
117,-0.76
118,-0.85
119,0.05
120,0.17
121,0.92
122,0.69
123,0.98
124,-0.85
125,-0.64
126,1.66
127,0.89
128,1.01
129,0.58
130,0.6
131,-0.05
132,3.56
133,0.67
134,0.16
135,-2.38
136,0.39
137,-0.43
138,-0.19
139,-0.59
140,-0.31
141,-0.38
142,-0.16
143,-0.1
144,-0.18
145,-0.22
146,1.24
147,1.25
148,1.26
149,-0.35
150,1.15
151,1.48
152,-0.11
153,1.49
154,-0.24
155,-1.91
156,0.53
157,0.04
158,0.99
159,-0.46
160,-1.4
161,0.81
162,-1.16
163,-1.91
164,-2.5
165,-3.54
166,-2.1
167,-2.8
168,-0.88
169,-2.5
170,-1.84
171,1.78
172,0.88
173,0.32
174,-1.53
175,-0.7
176,-0.16
177,-1.65
178,-0.37
179,1.08
180,-0.02
181,-0.2
182,-2.1
183,-2.03
184,0.45
185,-0.53
186,-1.09
187,-1.02
188,-0.36
189,-1.27
190,-0.25
191,-1.44
192,0.34
193,-0.95
194,1.03
195,0.3
196,-0.76
197,0.68
198,-1.17
199,-0.9
200,-0.27
