x,y
1,1.53
2,-0.53
3,-0.49
4,-1.31
5,-0.01
6,0.98
7,-1.75
8,-0.67
9,0.04
10,0.85
11,0.38
12,0.33
13,-0.22
14,0.48
15,1.01
16,-1.71
17,0.73
18,-0.1
19,-0.53
20,-2.44
21,-1.38
22,1.7
23,-0.69
24,-1.08
25,-0.46
26,-0.75
27,0.12
28,1.52
29,-0.59
30,0.15
31,-1.15
32,1.52
33,0.19
34,-1.08
35,0.9
36,1.2
37,0.16
38,-1.64
39,1.79
40,0.31
41,1.17
42,-0.55
43,-0.4
44,0.11
45,1.11
46,0.14
47,-1.26
48,0.26
49,1.63
50,0.07
51,0.13
52,-1.26
53,-1.4
54,-0.64
55,-0.33
56,0.1
57,0.17
58,1.6
59,0.06
60,1.06
61,-0.04
62,1.45
63,-1.87
64,-0.6
65,0.98
66,-0.17
67,0.93
68,0.39
69,0.95
70,0.61
71,0.67
72,1.49
73,0.99
74,0.99
75,0.02
76,-0.58
77,-0.66
78,0.75
79,-2.44
80,-1.31
81,-0.96
82,-0.25
83,-2.63
84,1.26
85,0.6
86,1.98
87,1.06
88,1.03
89,2.25
90,-0.57
91,-1.5
92,-0.23
93,-0.82
94,-0.26
95,-1.05
96,0.57
97,0.51
98,-0.03
99,0.31
100,-0.14
101,0.75
102,0.07
103,-0.27
104,0.93
105,1.26
106,1.34
107,-0.99
108,-0.53
109,-1.7
110,-0.24
111,0.42
112,-0.13
113,1.93
114,-0.41
115,-1.09
116,0.57
117,0.15
118,0.55
119,0.3
120,0.24
121,-2.12
122,-0.73
123,-0.59
124,-0.35
125,-0.45
126,0.41
127,0.6
128,-1.13
129,0.69
130,0.59
131,0.47
132,-1.42
133,0.44
134,0.08
135,0.96
136,1.78
137,1.59
138,0.11
139,0
140,0.63
141,-1.12
142,-1.45
143,-0.47
144,1.22
145,-0.33
146,1.5
147,-2.79
148,-1.59
149,-0.12
150,0.89
151,-0.07
152,-0.1
153,-0.12
154,-1.76
155,1.16
156,-0.68
157,1.09
158,-0.07
159,1.07
160,0.34
161,-0.11
162,0.23
163,-1.47
164,0.01
165,1.72
166,1.31
167,-0.99
168,0.51
169,0.25
170,0.82
171,0.09
172,-0.23
173,1.33
174,0.22
175,1.26
176,0.97
177,-0.32
178,-0.17
179,1.93
180,0.19
181,-0.76
182,-1.2
183,0.97
184,0.16
185,-0.79
186,0.67
187,0.16
188,-1.66
189,0.59
190,1.33
191,2.56
192,0.03
193,0.23
194,1.61
195,0.17
196,0.28
197,-0.63
198,-1.39
199,0.91
200,-1.27
